Code,Description
50949017,"Lymphoma stage I"
51959012,"Lymphomatoid papulosis"
94699019,"Lymphoma stage III"
97982010,"Lethal midline granuloma"
110346017,"Lymphoma stage IV"
123978016,"Mantle cell lymphoma"
126918018,"Lymphoma stage II"
154080016,"Letterer-Siwe disease of intra-abdominal lymph nodes"
154081017,"Letterer-Siwe disease of intrapelvic lymph nodes"
154082012,"Letterer-Siwe disease of intrathoracic lymph nodes"
154089015,"Letterer-Siwe disease of lymph nodes of multiple sites"
154090012,"Letterer-Siwe disease of spleen"
154183017,"Malignant histiocytosis of intra-abdominal lymph nodes"
154184011,"Malignant histiocytosis of intrapelvic lymph nodes"
154185012,"Malignant histiocytosis of intrathoracic lymph nodes"
154192019,"Malignant histiocytosis of lymph nodes of multiple sites"
154193012,"Malignant histiocytosis of spleen"
154798010,"Hodgkin's disease, mixed cellularity of spleen"
154811011,"Hodgkin's disease, nodular sclerosis of spleen"
154837014,"Hodgkin's granuloma of intrapelvic lymph nodes"
154838016,"Hodgkin's granuloma of intrathoracic lymph nodes"
154846015,"Hodgkin's granuloma of spleen"
154859011,"Hodgkin's paragranuloma of spleen"
154862014,"Hodgkin's sarcoma of intra-abdominal lymph nodes"
154863016,"Hodgkin's sarcoma of intrapelvic lymph nodes"
154864010,"Hodgkin's sarcoma of intrathoracic lymph nodes"
154872012,"Hodgkin's sarcoma of spleen"
157071014,"Mycosis fungoides of intra-abdominal lymph nodes"
157072019,"Mycosis fungoides of intrapelvic lymph nodes"
157073012,"Mycosis fungoides of intrathoracic lymph nodes"
157075017,"Mycosis fungoides of lymph nodes of axilla and upper limb"
157081013,"Mycosis fungoides of spleen"
157686016,"Nodular lymphoma of intra-abdominal lymph nodes"
157687013,"Nodular lymphoma of intrapelvic lymph nodes"
157688015,"Nodular lymphoma of intrathoracic lymph nodes"
157692010,"Nodular lymphoma of lymph nodes of multiple sites"
157693017,"Nodular lymphoma of spleen"
157745018,"Reticulosarcoma of intra-abdominal lymph nodes"
157746017,"Reticulosarcoma of intrapelvic lymph nodes"
157747014,"Reticulosarcoma of intrathoracic lymph nodes"
157751011,"Reticulosarcoma of lymph nodes of multiple sites"
157752016,"Reticulosarcoma of spleen"
198006010,"Diffuse large B-cell lymphoma"
207325017,"T/NK-cell lymphoma"
215912012,"[M]Malignant lymphoma, small cleaved cell, diffuse"
215913019,"[M]Hodgkin's disease, lymphocytic depletion NOS"
215914013,"[M]Hodgkin's disease, nodular sclerosis NOS"
215915014,"[M]Malignant histiocytosis"
215916010,"[M]Malignant reticulosis"
215918011,"[M] Immunoproliferative small intestinal disease"
287029018,"HIV disease resulting in Burkitt's lymphoma"
288182013,"[X]HIV disease resulting in other non-Hodgkin's lymphoma"
289580016,"Lymphosarcoma and reticulosarcoma"
289581017,"Reticulosarcoma of unspecified site"
289582012,"Reticulosarcoma of lymph nodes of head, face and neck"
289585014,"Reticulosarcoma of lymph nodes of axilla and upper limb"
289590012,"Reticulosarcoma NOS"
289591011,"Lymphosarcoma"
289592016,"Lymphosarcoma of unspecified site"
289593014,"Lymphosarcoma of lymph nodes of head, face and neck"
289594015,"Lymphosarcoma of intrathoracic lymph nodes"
289595019,"Lymphosarcoma of intra-abdominal lymph nodes"
289596018,"Lymphosarcoma of lymph nodes of axilla and upper limb"
289598017,"Lymphosarcoma of intrapelvic lymph nodes"
289599013,"Lymphosarcoma of spleen"
289600011,"Lymphosarcoma of lymph nodes of multiple sites"
289601010,"Lymphosarcoma NOS"
289602015,"Burkitt's lymphoma of unspecified site"
289603013,"Burkitt's lymphoma of lymph nodes of head, face and neck"
289604019,"Burkitt's lymphoma of intrathoracic lymph nodes"
289605018,"Burkitt's lymphoma of intra-abdominal lymph nodes"
289606017,"Burkitt's lymphoma of lymph nodes of axilla and upper limb"
289608016,"Burkitt's lymphoma of intrapelvic lymph nodes"
289610019,"Burkitt's lymphoma of spleen"
289611015,"Burkitt's lymphoma of lymph nodes of multiple sites"
289612010,"Burkitt's lymphoma NOS"
289613017,"Other specified reticulosarcoma or lymphosarcoma"
289614011,"Reticulosarcoma or lymphosarcoma NOS"
289616013,"Hodgkin's paragranuloma of unspecified site"
289618014,"Hodgkin's paragranuloma of intrathoracic lymph nodes"
289621011,"Hodgkin's paragranuloma of intra-abdominal lymph nodes"
289624015,"Hodgkin's paragranuloma of intrapelvic lymph nodes"
289626018,"Hodgkin's paragranuloma of lymph nodes of multiple sites"
289627010,"Hodgkin's paragranuloma NOS"
289628017,"Hodgkin's granuloma of unspecified site"
289629013,"Hodgkin's granuloma of lymph nodes of head, face and neck"
289632011,"Hodgkin's granuloma of intra-abdominal lymph nodes"
289633018,"Hodgkin's granuloma of lymph nodes of axilla and upper limb"
289637017,"Hodgkin's granuloma of lymph nodes of multiple sites"
289638010,"Hodgkin's granuloma NOS"
289639019,"Hodgkin's sarcoma of unspecified site"
289640017,"Hodgkin's sarcoma of lymph nodes of head, face and neck"
289643015,"Hodgkin's sarcoma of lymph nodes of axilla and upper limb"
289647019,"Hodgkin's sarcoma of lymph nodes of multiple sites"
289648012,"Hodgkin's sarcoma NOS"
289657018,"Hodgkin's, lymphocytic-histiocytic predominance of spleen"
289659015,"Hodgkin's, lymphocytic-histiocytic predominance NOS"
289660013,"Hodgkin's disease, nodular sclerosis of unspecified site"
289669014,"Hodgkin's disease, nodular sclerosis NOS"
289670010,"Hodgkin's disease, mixed cellularity of unspecified site"
289679011,"Hodgkin's disease, mixed cellularity NOS"
289680014,"Hodgkin's lymphocytic depletion of unspecified site"
289699017,"Hodgkin's disease, lymphocytic depletion of spleen"
289701017,"Hodgkin's disease, lymphocytic depletion NOS"
289702012,"Hodgkin's disease NOS"
289703019,"Hodgkin's disease NOS, unspecified site"
289704013,"Hodgkin's disease NOS of lymph nodes of head, face and neck"
289705014,"Hodgkin's disease NOS of intrathoracic lymph nodes"
289706010,"Hodgkin's disease NOS of intra-abdominal lymph nodes"
289709015,"Hodgkin's disease NOS of intrapelvic lymph nodes"
289710013,"Hodgkin's disease NOS of spleen"
289711012,"Hodgkin's disease NOS of lymph nodes of multiple sites"
289713010,"Other malignant neoplasm of lymphoid and histiocytic tissue"
289717011,"Nodular lymphoma of unspecified site"
289718018,"Nodular lymphoma of lymph nodes of head, face and neck"
289721016,"Nodular lymphoma of lymph nodes of axilla and upper limb"
289726014,"Nodular lymphoma NOS"
289727017,"Mycosis fungoides of unspecified site"
289738017,"Mycosis fungoides of lymph nodes of multiple sites"
289739013,"Mycosis fungoides NOS"
289740010,"Sezary's disease of unspecified site"
289741014,"Sezary's disease of lymph nodes of head, face and neck"
289742019,"Sezary's disease of intrathoracic lymph nodes"
289743012,"Sezary's disease of intra-abdominal lymph nodes"
289744018,"Sezary's disease of lymph nodes of axilla and upper limb"
289746016,"Sezary's disease of intrapelvic lymph nodes"
289748015,"Sezary's disease of lymph nodes of multiple sites"
289749011,"Sezary's disease NOS"
289750011,"Malignant histiocytosis of unspecified site"
289754019,"Malignant histiocytosis NOS"
289756017,"Leukaemic reticuloendotheliosis of unspecified sites"
289769018,"Leukaemic reticuloendotheliosis of spleen"
289773015,"Leukaemic reticuloendotheliosis NOS"
289776011,"Letterer-Siwe disease of unspecified sites"
289780018,"Letterer-Siwe disease NOS"
289781019,"Malignant mast cell tumours"
289783016,"Mast cell malignancy of unspecified site"
289784010,"Mast cell malignancy of lymph nodes of head, face and neck"
289785011,"Mast cell malignancy of intrathoracic lymph nodes"
289786012,"Mast cell malignancy of intra-abdominal lymph nodes"
289787015,"Mast cell malignancy of lymph nodes of axilla and upper limb"
289789017,"Mast cell malignancy of intrapelvic lymph nodes"
289790014,"Mast cell malignancy of spleen"
289791013,"Mast cell malignancy of lymph nodes of multiple sites"
289793011,"Malignant mast cell tumour NOS"
289799010,"Diffuse non-Hodgkin's small cell (diffuse) lymphoma"
289801013,"Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma"
289812013,"Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)"
289813015,"Other types of follicular non-Hodgkin's lymphoma"
289820010,"Malignant lymphoma otherwise specified"
289826016,"Malignant immunoproliferative small intestinal disease"
289829011,"Malignant lymphoma NOS"
289830018,"Malignant lymphoma NOS of unspecified site"
289831019,"Malignant lymphoma NOS of lymph nodes of head, face and neck"
289832014,"Malignant lymphoma NOS of intrathoracic lymph nodes"
289842011,"Malignant lymphoma NOS of intra-abdominal lymph nodes"
289845013,"Malignant lymphoma NOS of intrapelvic lymph nodes"
289846014,"Malignant lymphoma NOS of spleen"
289847017,"Malignant lymphoma NOS of lymph nodes of multiple sites"
289849019,"Malignant neoplasms of lymphoid and histiocytic tissue NOS"
289873010,"Other immunoproliferative neoplasms"
289987014,"Malignant neoplasm lymphatic or haematopoietic tissue NOS"
291887011,"[M]Lymphomas, NOS or diffuse"
291891018,"[M]Malignant lymphoma, diffuse NOS"
291892013,"[M]Malignant lymphoma, undifferentiated cell type NOS"
291894014,"[M]Malignant lymphoma, convoluted cell type NOS"
291900014,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse"
291902018,"[M]Malignant lymphoma, follicular centre cell NOS"
291903011,"[M]Malignant lymphoma, lymphocytic, well differentiated NOS"
291905016,"[M]Malignant lymphoma, centrocytic"
291907012,"[M]Malignant lymphoma, follicular centre cell, cleaved NOS"
291909010,"[M]Prolymphocytic lymphosarcoma"
291910017,"[M]Malignant lymphoma, centroblastic type NOS"
291913015,"[M]Malignant lymphomatous polyposis"
291914014,"[M]Malignant lymphoma, large cell, cleaved, diffuse"
291923012,"[M]Reticulosarcoma NOS"
291931019,"[M]Hodgkin's disease, lymphocytic predominance"
291932014,"[M]Hodgkin,s disease, lymphocytic predominance, diffuse"
291933016,"[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity"
291934010,"[M]Hodgkin's paragranuloma"
291943018,"[M]Malignant lymphoma, centroblastic-centrocytic, follicular"
291953017,"[M]Lymphoma, nodular or follicular NOS"
291955012,"[M]Mycosis fungoides NOS"
291959018,"[M] Peripheral T-cell lymphoma NOS"
291963013,"[M] Large cell lymphoma"
291980012,"[M]Burkitt's tumours"
291981011,"[M]Burkitt's tumour NOS"
292028015,"[M]Lymphosarcoma cell leukaemia"
292031019,"[M]Lymphosarcoma cell leukaemia NOS"
292083014,"[M]Monocytoid B-cell lymphoma"
292169014,"[X]Other Hodgkin's disease"
292170010,"[X]Other types of follicular non-Hodgkin's lymphoma"
292173012,"[X]Other types of diffuse non-Hodgkin's lymphoma"
