Code,Description
30590019,"Calculus in diverticulum of bladder"
34208010,"Calculus in urethra"
34210012,"Urethral calculus"
39884018,"Calculous pyelonephritis"
51969018,"Ureteric stone"
51972013,"Ureteric calculus"
51973015,"Ureterolithiasis"
61269010,"Pyelolithotomy"
80092017,"Congenital calculus of kidney"
117363016,"Bladder stone"
117365011,"Bladder calculus"
141434019,"Calculus of prostate"
158297010,"Renal stone"
158299013,"Renal calculus"
251765015,"H/O: urinary stone"
261015019,"O/E: prostatic calculus"
261016018,"O/E: renal calculus"
261017010,"O/E: kidney stone"
261018017,"O/E: oxalate renal calculus"
261022010,"O/E: uric acid renal calculus"
261023017,"O/E: cystine renal calculus"
261024011,"O/E: renal stone NOS"
261029018,"O/E - ureteric calculus"
261030011,"O/E - urethral calculus"
261031010,"O/E - bladder calculus"
261042018,"O/E - bladder calculus NOS"
261063016,"Calculus = uric acid"
272375016,"Unspecified open removal of calculus from kidney"
272382017,"Extended pyelolithotomy"
272383010,"Simple nephrolithotomy"
272384016,"Anatrophic nephrolithotomy"
272393015,"Endoscopic ultrasound fragmentation of renal calculus"
272394014,"Nephroscopy and ultrasound lithotripsy of renal calculus"
272396011,"Endoscopic laser fragmentation of renal calculus"
272397019,"Percutaneous nephrolithotomy without disintegration"
272398012,"PCNL - Percutaneous nephrolithotomy without disintegration"
272399016,"Other specified percutaneous renal stone surgery"
272400011,"Percutaneous renal stone surgery NOS"
272438010,"Extracorporeal shockwave lithotripsy for renal calculus NOS"
272542011,"Nephroscopic laser fragmentation of ureteric calculus"
272543018,"Other nephroscopic fragmentation of ureteric calculus"
272556013,"Ureteroscopic laser lithotripsy of ureteric calculus"
272557016,"Ureteroscopic laser fragmentation of ureteric calculus"
272558014,"Other ureteroscopic fragmentation of ureteric calculus"
272563013,"Cystoscopic laser lithotripsy of ureteric calculus"
272564019,"Other cystoscopic fragmentation of ureteric calculus"
272569012,"Cystoscopic catheter drainage for ureteric calculus"
272571012,"Cystoscopic dilation of ureter for drainage of calculus"
272572017,"Other specified cystoscopic removal of ureteric calculus"
272573010,"Cystoscopic removal of ureteric calculus NOS"
272604014,"Extracorporeal shockwave therapy for stone in upper ureter"
272605010,"Extracorporeal shockwave lithotripsy for stone in mid-ureter"
272732012,"Other endoscopic extraction of bladder calculus"
272768019,"Removal of bladder calculus by urethral catheter suction"
272967015,"Endoscopic removal of prostatic calculus"
304094012,"Hydronephrosis with renal and ureteral calculous obstruction"
304112014,"Staghorn calculus"
304113016,"Renal calculus NOS"
304115011,"Urinary calculus NOS"
304172018,"Other calculus in bladder"
304173011,"Bladder calculus NOS"
304174017,"Other lower urinary tract calculus"
304175016,"Lower urinary tract calculus NOS"
304368014,"Urinary calculus in schistosomiasis"
305194016,"[X]Other lower urinary tract calculus"
354793016,"Nephrolithiasis NOS"
394381015,"Cystoscopic extraction of ureteric calculus"
396715016,"Calculus of kidney with calculus of ureter"
396716015,"Calculus of kidney and ureter"
398876010,"Uric acid nephrolithiasis"
404562010,"O/E: phosphate -staghorn-stone"
404563017,"O/E - vesical oxalate calculus"
404564011,"O/E-vesical uric acid calculus"
404565012,"O/E-vesical phosphate calculus"
406706014,"Oxalate bladder stone"
406707017,"Uric acid bladder stone"
406708010,"Phosphate bladder stone"
411861016,"Phosphate kidney stone"
444002018,"Dormia basket extraction of ureteric calculus"
453179011,"Electrokinetic lithotripsy of bladder calculus"
458336016,"Calculus uric acid content"
459826012,"Endoscopic removal of urethral calculus"
480263010,"Extracorporeal shockwave lithotripsy of ureteric calculus"
480970019,"Open urethrotomy and removal of calculus"
481900014,"Extracorporeal shockwave lithotripsy for renal calculus"
481901013,"Extracorporeal fragmentation of renal calculus"
483075011,"Middle third ureterolithotomy"
484765012,"Calculus of ureter"
501852018,"Endoscopic litholapaxy"
501853011,"Cystoscopic litholapaxy"
501854017,"Bigelow litholapaxy"
505207017,"Upper third ureterolithotomy"
505966016,"Lower third ureterolithotomy"
506474017,"Stone of prostate"
512193015,"Calculus of kidney"
512195010,"Kidney calculus"
1221571017,"Other nephroscopic lithotripsy of ureteric calculus"
1229051019,"Urinary calculus"
1488616013,"Endoscopic extraction of calculus of kidney nec"
1490829012,"Open removal of bladder calculus"
1491477011,"PCNL - Percutaneous nephrolithotomy"
2478855015,"Lower urinary tract calculus"
